exercise,sets,reps,weight_lbs,datetime,duration_minutes
OverheadSquat,1,5,105,12/18/2018,
FrontSquat,1,4,65,12/18/2018,
FrontSquat,1,3,95,12/18/2018,
FrontSquat,1,2,125,12/18/2018,
FrontSquat,1,10,135,12/18/2018,
Snatch,1,4,45,12/20/2018,
Snatch,1,3,65,12/20/2018,
Snatch,1,2,75,12/20/2018,
Snatch,1,1,95,12/20/2018,
Clean&Jerk,1,4,65,12/20/2018,
Clean&Jerk,1,3,85,12/20/2018,
Clean&Jerk,1,2,105,12/20/2018,
Clean&Jerk,1,1,125,12/20/2018,
Clean&Jerk,1,1,135,12/20/2018,
Clean&Jerk,1,1,145,12/20/2018,
BackSquat,3,8,185,1/7/2019,
ShoulderPress,3,8,95,1/7/2019,
FrontSquat,3,8,115,1/8/2019,
BenchPress,3,8,125,1/8/2019,
OverheadSquat,3,8,75,1/10/2019,
Deadlift,3,8,210,1/10/2019,
Snatch,3,8,45,1/10/2019,
BackSquat,3,7,185,1/12/2019,
ShoulderPress,3,7,100,1/13/2019,
OverheadSquat,3,7,75,1/13/2019,
FrontSquat,3,7,125,1/14/2019,
BenchPress,3,7,135,1/15/2019,
Deadlift,3,7,225,1/16/2019,
Snatch,1,7,45,1/16/2019,
Snatch,1,7,65,1/16/2019,
Snatch,1,10,45,1/16/2019,
BackSquat,4,5,205,1/19/2019,
ShoulderPress,4,5,105,1/20/2019,
OverheadSquat,4,5,75,1/20/2019,
FrontSquat,4,5,135,1/21/2019,
BenchPress,4,5,145,1/22/2019,
Deadlift,4,5,245,1/23/2019,
Snatch,4,5,45,1/23/2019,
BackSquat,5,5,160,1/27/2019,
ShoulderPress,5,5,85,1/28/2019,
OverheadSquat,2,5,75,1/28/2019,
OverheadSquat,3,7,45,1/28/2019,
FrontSquat,1,5,105,1/28/2019,
FrontSquat,4,5,110,1/28/2019,
BenchPress,5,5,120,1/29/2019,
Deadlift,5,5,195,1/30/2019,
Snatch,2,5,45,1/30/2019,
Snatch,1,5,65,1/30/2019,
Snatch,1,5,75,1/30/2019,
Snatch,1,5,85,1/30/2019,
BackSquat,4,5,205,2/2/2019,
ShoulderPress,4,5,105,2/3/2019,
OverheadSquat,4,5,65,2/3/2019,
FrontSquat,4,5,140,2/4/2019,
BenchPress,4,5,155,2/5/2019,
Snatch,1,5,45,2/6/2019,
Snatch,1,5,65,2/6/2019,
Snatch,1,5,75,2/6/2019,
Snatch,1,5,85,2/6/2019,
BackSquat,4,4,215,2/10/2019,60
ShoulderPress,4,4,115,2/11/2019,90
OverheadSquat,4,4,75,2/11/2019,90
FrontSquat,4,4,145,2/12/2019,90
BenchPress,4,4,160,2019-02-13T19:15:00,
Snatch,1,4,65,2/14/2019,
Snatch,1,4,75,2/14/2019,
Snatch,1,4,85,2/14/2019,
Snatch,1,4,95,2/14/2019,
Clean&Jerk,1,4,65,2/14/2019,
Clean&Jerk,1,4,75,2/14/2019,
Clean&Jerk,1,4,85,2/14/2019,
Clean&Jerk,1,4,95,2/14/2019,
Deadlift,1,4,185,2/14/2019,
Deadlift,1,4,205,2/14/2019,
Deadlift,1,4,225,2/14/2019,
Clean&Jerk,1,4,65,2019-02-16T09:01:00,
Clean&Jerk,1,4,75,2019-02-16T09:01:00,
Clean&Jerk,1,4,85,2019-02-16T09:01:00,
BackSquat,5,5,140,2019-02-16T09:01:00,
ShoulderPress,5,5,75,2019-02-17T09:05:00,
OverheadSquat,5,5,45,2019-02-17T09:05:00,
Snatch,1,2,65,2019-02-17T09:05:00,
Snatch,1,2,75,2019-02-17T09:05:00,
Snatch,1,2,85,2019-02-17T09:05:00,
FrontSquat,5,5,95,2019-02-18T17:30:00,70
BenchPress,5,5,100,2019-02-19T20:15:00,85
OverheadSquat,2,5,45,2019-02-19T20:15:00,85
OverheadSquat,2,5,75,2019-02-19T20:15:00,85
OverheadSquat,1,5,85,2019-02-19T20:15:00,85
Snatch,1,2,75,2019-02-19T20:15:00,85
